240620;095923;304925;1;1984991935542078118;B
240620;095923;304925;1;1984991935542078119;B
240620;095923;304925;1;1984991935542078120;B
240620;095923;304925;1;1984991935542078121;B
240620;095923;304925;1;1984991935542078122;B
240620;100000;304950;1;1984991935542078123;B
240620;100000;304950;1;1984991935542078124;B
240620;100000;304950;1;1984991935542078125;S
240620;100000;304925;1;1984991935542078126;S
240620;100000;305000;1;1984991935542078127;B
240620;100000;305025;1;1984991935542078128;B
240620;100000;305025;1;1984991935542078129;B
240620;100000;305000;1;1984991935542078130;S
240620;100000;305000;1;1984991935542078131;S
240620;100000;305000;1;1984991935542078132;S
240620;100000;304975;1;1984991935542078133;S
240620;100000;304975;1;1984991935542078134;S
240620;100000;305025;1;1984991935542078135;B
240620;100000;305025;1;1984991935542078136;B
240620;100000;305025;1;1984991935542078137;B
240620;100000;305025;1;1984991935542078138;B
240620;100001;305225;1;1984991935542078143;S
240620;100001;305250;1;1984991935542078150;B
240620;100001;305300;1;1984991935542078155;B
240620;100001;305300;1;1984991935542078164;B
240620;100001;305300;1;1984991935542078169;B
240620;100001;305300;1;1984991935542078179;B
240620;100001;305300;1;1984991935542078184;B
240620;100001;305300;1;1984991935542078189;B
240620;100001;305300;1;1984991935542078194;B
240620;100002;304950;1;1984991935542078200;B
240620;100002;304950;1;1984991935542078205;B
240620;100003;305075;1;1984991935542078210;B
240620;100003;305075;1;1984991935542078217;B
240620;100003;305075;1;1984991935542078222;B
240620;100004;304975;1;1984991935542078227;B
240620;100004;304975;1;1984991935542078228;B
240620;100004;305025;1;1984991935542078229;B
240620;100004;305025;1;1984991935542078231;B
240620;100006;305025;1;1984991935542078241;S
240620;100006;305000;1;1984991935542078242;S
240620;100006;305000;10;1984991935542078247;S
240620;100007;305200;1;1984991935542078252;B
240620;100007;305225;1;1984991935542078257;B
240620;100007;305225;1;1984991935542078262;B
240620;100007;305075;1;1984991935542078266;S
240620;100007;305050;1;1984991935542078267;S
240620;100007;305050;1;1984991935542078268;S
240620;100007;305025;1;1984991935542078269;S
240620;100007;305025;8;1984991935542078270;S
240620;100007;305050;1;1984991935542078271;S
240620;100007;305025;11;1984991935542078272;S
240620;100008;305250;1;1984991935542078274;B
240620;100008;305250;1;1984991935542078279;B
240620;100008;305150;1;1984991935542078284;S
240620;100009;305300;1;1984991935542078288;B
240620;100009;305175;1;1984991935542078289;S
240620;100009;305150;1;1984991935542078290;S
240620;100009;305150;10;1984991935542078291;S
240620;100009;305175;1;1984991935542078292;S
240620;100009;305150;10;1984991935542078293;S
240620;100009;305150;1;1984991935542078294;S
240620;100009;305150;10;1984991935542078295;S
240620;100009;305125;1;1984991935542078296;S
240620;100009;305125;1;1984991935542078297;S
240620;100010;305250;1;1984991935542078299;B
240620;100010;305250;1;1984991935542078304;B
240620;100012;305175;2;1984991935542078308;S
240620;100012;305000;1;1984991935542078313;S
240620;100012;305225;1;1984991935542078319;B
240620;100012;305250;1;1984991935542078324;B
240620;100012;305225;1;1984991935542078329;B
240620;100012;305250;1;1984991935542078334;B
240620;100013;305050;1;1984991935542078338;S
240620;100013;305025;3;1984991935542078339;S
240620;100013;305025;1;1984991935542078340;S
240620;100013;305000;1;1984991935542078341;S
240620;100013;304975;1;1984991935542078342;S
240620;100013;304975;1;1984991935542078347;S
240620;100013;304950;1;1984991935542078348;S
240620;100013;304950;1;1984991935542078349;S
240620;100013;304925;1;1984991935542078350;S
240620;100013;304925;1;1984991935542078351;S
240620;100013;305125;1;1984991935542078352;B
240620;100013;304950;1;1984991935542078353;S
240620;100014;304950;1;1984991935542078354;S
240620;100014;304925;1;1984991935542078355;S
240620;100014;304925;1;1984991935542078356;S
240620;100014;304900;5;1984991935542078357;S
240620;100014;304900;1;1984991935542078358;S
240620;100014;304900;1;1984991935542078359;S
240620;100014;304875;1;1984991935542078360;S
240620;100014;304875;1;1984991935542078361;S
240620;100015;305100;1;1984991935542078363;B
240620;100015;305125;1;1984991935542078368;B
240620;100015;304875;1;1984991935542078372;S
240620;100015;305175;1;1984991935542078374;B
240620;100016;304875;1;1984991935542078379;S
240620;100016;304875;1;1984991935542078380;S
240620;100016;304850;1;1984991935542078381;S
240620;100016;304850;2;1984991935542078382;S
240620;100016;304850;2;1984991935542078383;S
240620;100016;304850;1;1984991935542078388;S
240620;100016;304825;1;1984991935542078389;S
240620;100016;304825;1;1984991935542078390;S
240620;100016;304800;1;1984991935542078391;S
240620;100016;304800;1;1984991935542078392;S
240620;100016;304775;1;1984991935542078393;S
240620;100016;304775;1;1984991935542078394;S
240620;100016;304750;1;1984991935542078395;S
240620;100016;304750;1;1984991935542078396;S
240620;100016;304725;1;1984991935542078397;S
240620;100016;304725;1;1984991935542078398;S
240620;100016;304725;2;1984991935542078400;B
240620;100016;304725;10;1984991935542078404;B
240620;100016;304625;1;1984991935542078405;S
240620;100016;304950;1;1984991935542078410;B
240620;100017;304950;1;1984991935542078411;B
240620;100018;304975;3;1984991935542078412;B
240620;100018;304975;3;1984991935542078413;B
240620;100018;304975;2;1984991935542078414;B
240620;100018;304975;2;1984991935542078415;B
240620;100018;304975;2;1984991935542078416;B
240620;100018;305125;1;1984991935542078417;B
240620;100019;305100;1;1984991935542078418;S
240620;100022;305000;1;1984991935542078424;B
240620;100022;304975;1;1984991935542078428;S
240620;100022;304925;1;1984991935542078433;S
240620;100022;305000;1;1984991935542078439;B
240620;100023;304975;1;1984991935542078443;B
240620;100024;304650;1;1984991935542078444;S
240620;100024;304650;1;1984991935542078449;S
240620;100025;304925;1;1984991935542078454;B
240620;100026;304850;1;1984991935542078455;S
240620;100027;304850;1;1984991935542078461;B
